Date,Ticker,Close,inflation_rate,interest_rate,gdp_growth,unemployment_rate,exchange_rate,FTSE100_Index
2021-05-26,TSCO.L,225.1999969482422,111.0,0.0495,6.9822823221,4.7,1.4129,7026.89990234375
2021-05-27,TSCO.L,224.0,111.0,0.0495,6.9822823221,4.7,1.4172,7019.7001953125
2021-05-28,TSCO.L,223.25,111.0,0.0495,6.9822823221,4.7,1.4188,7022.60009765625
2021-06-01,TSCO.L,224.9499969482422,111.4,0.0498,6.9822823221,4.6,1.4168,7080.5
2021-06-02,TSCO.L,225.5,111.4,0.0498,6.9822823221,4.6,1.4177,7108.0
2021-06-03,TSCO.L,225.6999969482422,111.4,0.0498,6.9822823221,4.6,1.4099,7064.39990234375
2021-06-04,TSCO.L,225.0,111.4,0.0498,6.9822823221,4.6,1.4175,7069.0
2021-06-07,TSCO.L,225.6000061035156,111.4,0.0498,6.9822823221,4.6,1.4179,7077.2001953125
2021-06-08,TSCO.L,226.25,111.4,0.0498,6.9822823221,4.6,1.4146,7095.10009765625
2021-06-09,TSCO.L,226.5500030517578,111.4,0.0498,6.9822823221,4.6,1.4124,7081.0
2021-06-10,TSCO.L,228.0,111.4,0.0498,6.9822823221,4.6,1.4165,7088.2001953125
2021-06-11,TSCO.L,231.6000061035156,111.4,0.0498,6.9822823221,4.6,1.4114,7134.10009765625
2021-06-14,TSCO.L,231.75,111.4,0.0498,6.9822823221,4.6,1.4116,7146.7001953125
2021-06-15,TSCO.L,231.0,111.4,0.0498,6.9822823221,4.6,1.4073,7172.5
2021-06-16,TSCO.L,230.1499938964844,111.4,0.0498,6.9822823221,4.6,1.411,7185.0
2021-06-17,TSCO.L,231.1499938964844,111.4,0.0498,6.9822823221,4.6,1.3916,7153.39990234375
2021-06-18,TSCO.L,221.75,111.4,0.0498,6.9822823221,4.6,1.3817,7017.5
2021-06-21,TSCO.L,225.6000061035156,111.4,0.0498,6.9822823221,4.6,1.3915,7062.2998046875
2021-06-22,TSCO.L,224.1999969482422,111.4,0.0498,6.9822823221,4.6,1.3921,7090.0
2021-06-23,TSCO.L,223.0,111.4,0.0498,6.9822823221,4.6,1.3977,7074.10009765625
2021-06-24,TSCO.L,223.3500061035156,111.4,0.0498,6.9822823221,4.6,1.3907,7110.0
2021-06-25,TSCO.L,224.5,111.4,0.0498,6.9822823221,4.6,1.3899,7136.10009765625
2021-06-28,TSCO.L,223.9499969482422,111.4,0.0498,6.9822823221,4.6,1.3895,7073.0
2021-06-29,TSCO.L,222.8500061035156,111.4,0.0498,6.9822823221,4.6,1.3845,7087.60009765625
2021-06-30,TSCO.L,222.9499969482422,111.4,0.0498,6.9822823221,4.6,1.3806,7037.5
2021-07-01,TSCO.L,223.1000061035156,111.4,0.0506,1.6866455181,4.5,1.378,7125.2001953125
2021-07-02,TSCO.L,224.6000061035156,111.4,0.0506,1.6866455181,4.5,1.3795,7123.2998046875
2021-07-05,TSCO.L,231.5,111.4,0.0506,1.6866455181,4.5,1.3795,7164.89990234375
2021-07-06,TSCO.L,234.25,111.4,0.0506,1.6866455181,4.5,1.3792,7100.89990234375
2021-07-07,TSCO.L,237.4499969482422,111.4,0.0506,1.6866455181,4.5,1.3792,7151.0
2021-07-08,TSCO.L,234.25,111.4,0.0506,1.6866455181,4.5,1.3767,7030.7001953125
2021-07-09,TSCO.L,237.6999969482422,111.4,0.0506,1.6866455181,4.5,1.3842,7121.89990234375
2021-07-12,TSCO.L,236.0,111.4,0.0506,1.6866455181,4.5,1.3886,7125.39990234375
